meridian,meridian.angle..degrees.,pixel.from.bottom.to.top.,angle..degrees.,distance..cm.,r,r_smooth,x,y,z,x_smooth,y_smooth,z_smooth
 1,  0, 1,15.2,62.5,60.31,60.29, 60.31,  0.00,16.4, 60.29,  0.00,16.4
 1,  0, 2,18.2,63.0,59.84,59.49, 59.84,  0.00,19.7, 59.49,  0.00,19.6
 1,  0, 3,21.2,62.5,58.27,58.62, 58.27,  0.00,22.6, 58.62,  0.00,22.8
 1,  0, 4,25.2,63.2,57.18,57.32, 57.18,  0.00,26.9, 57.32,  0.00,27.0
 1,  0, 5,29.2,64.0,55.86,55.82, 55.86,  0.00,31.2, 55.82,  0.00,31.2
 1,  0, 6,32.7,64.5,54.27,54.32, 54.27,  0.00,34.9, 54.32,  0.00,34.9
 1,  0, 7,36.2,65.0,52.45,52.63, 52.45,  0.00,38.4, 52.63,  0.00,38.5
 1,  0, 8,38.7,65.5,51.11,51.29, 51.11,  0.00,41.0, 51.29,  0.00,41.1
 1,  0, 9,40.2,66.5,50.78,50.43, 50.78,  0.00,42.9, 50.43,  0.00,42.6
 1,  0,10,42.2,66.5,49.26,49.21, 49.26,  0.00,44.7, 49.21,  0.00,44.6
 1,  0,11,45.2,67.0,47.20,47.24, 47.20,  0.00,47.5, 47.24,  0.00,47.6
 1,  0,12,47.2,68.0,46.19,45.83, 46.19,  0.00,49.9, 45.83,  0.00,49.5
 1,  0,13,50.2,68.1,43.58,43.55, 43.58,  0.00,52.3, 43.55,  0.00,52.3
 1,  0,14,52.7,68.6,41.56,41.52, 41.56,  0.00,54.6, 41.52,  0.00,54.5
 1,  0,15,55.2,68.9,39.31,39.35, 39.31,  0.00,56.6, 39.35,  0.00,56.6
 1,  0,16,59.2,69.1,35.37,35.63, 35.37,  0.00,59.4, 35.63,  0.00,59.8
 1,  0,17,62.2,69.9,32.59,32.64, 32.59,  0.00,61.8, 32.64,  0.00,61.9
 1,  0,18,64.2,70.0,30.46,30.56, 30.46,  0.00,63.0, 30.56,  0.00,63.2
 1,  0,19,66.2,70.5,28.44,28.41, 28.44,  0.00,64.5, 28.41,  0.00,64.4
 1,  0,20,68.2,70.6,26.21,26.19, 26.21,  0.00,65.6, 26.19,  0.00,65.5
 1,  0,21,71.2,71.2,22.93,22.77, 22.93,  0.00,67.4, 22.77,  0.00,66.9
 1,  0,22,75.2,70.5,18.00,18.04, 18.00,  0.00,68.2, 18.04,  0.00,68.3
 1,  0,23,79.2,69.5,13.01,13.05, 13.01,  0.00,68.3, 13.05,  0.00,68.5
 1,  0,24,81.2,69.0,10.54,10.59, 10.54,  0.00,68.2, 10.59,  0.00,68.5
 1,  0,25,84.2,68.0, 6.86, 6.95,  6.86,  0.00,67.7,  6.95,  0.00,68.5
 2,345, 1,16.1,62.0,59.57,59.85, 57.54,-15.42,17.2, 57.81,-15.49,17.3
 2,345, 2,19.1,63.0,59.53,59.38, 57.50,-15.41,20.6, 57.35,-15.37,20.6
 2,345, 3,22.1,63.5,58.83,58.72, 56.83,-15.23,23.9, 56.72,-15.20,23.9
 2,345, 4,25.6,64.2,57.89,57.74, 55.92,-14.98,27.8, 55.77,-14.94,27.7
 2,345, 5,28.6,64.5,56.62,56.69, 54.70,-14.66,30.9, 54.76,-14.67,30.9
 2,345, 6,31.6,65.0,55.36,55.46, 53.47,-14.33,34.1, 53.57,-14.35,34.1
 2,345, 7,34.6,65.8,54.16,54.04, 52.31,-14.02,37.4, 52.20,-13.99,37.3
 2,345, 8,37.1,66.3,52.87,52.72, 51.07,-13.68,40.0, 50.92,-13.64,39.9
 2,345, 9,40.1,66.7,51.01,50.96, 49.27,-13.20,43.0, 49.22,-13.19,42.9
 2,345,10,42.1,67.3,49.93,49.68, 48.23,-12.92,45.1, 47.99,-12.86,44.9
 2,345,11,45.6,67.3,47.08,47.25, 45.47,-12.18,48.1, 45.64,-12.23,48.3
 2,345,12,48.6,67.6,44.70,44.97, 43.17,-11.57,50.7, 43.43,-11.64,51.0
 2,345,13,51.1,67.8,42.57,42.93, 41.12,-11.02,52.8, 41.47,-11.11,53.2
 2,345,14,53.1,68.4,41.06,41.22, 39.66,-10.63,54.7, 39.81,-10.67,54.9
 2,345,15,56.1,69.1,38.53,38.51, 37.22, -9.97,57.4, 37.20, -9.97,57.3
 2,345,16,60.1,69.9,34.83,34.66, 33.65, -9.02,60.6, 33.48, -8.97,60.3
 2,345,17,62.6,70.1,32.25,32.12, 31.15, -8.35,62.2, 31.03, -8.31,62.0
 2,345,18,64.6,70.5,30.23,30.02, 29.20, -7.82,63.7, 29.00, -7.77,63.3
 2,345,19,68.1,70.2,26.17,26.22, 25.28, -6.77,65.1, 25.32, -6.79,65.2
 2,345,20,70.1,71.0,24.16,23.97, 23.33, -6.25,66.8, 23.16, -6.20,66.3
 2,345,21,72.6,69.8,20.86,21.10, 20.15, -5.40,66.6, 20.39, -5.46,67.4
 2,345,22,75.1,70.8,18.19,18.18, 17.57, -4.71,68.4, 17.56, -4.70,68.4
 2,345,23,79.6,69.1,12.46,12.56, 12.04, -3.23,68.0, 12.13, -3.25,68.5
 2,345,24,81.6,68.8,10.04,10.10,  9.70, -2.60,68.1,  9.76, -2.61,68.5
 2,345,25,84.1,68.2, 7.00, 7.07,  6.76, -1.81,67.8,  6.83, -1.83,68.5
 3,330, 1,15.0,62.5,60.38,60.36, 52.29,-30.19,16.1, 52.27,-30.18,16.1
 3,330, 2,18.0,63.0,59.93,59.58, 51.90,-29.97,19.4, 51.60,-29.79,19.3
