meridian,meridian.angle..degrees.,pixel.from.bottom.to.top.,angle..degrees.,distance..cm.,r,r_smooth,x,y,z,x_smooth,y_smooth,z_smooth
1,0,1,15,62.5,60.37,60.35,60.37,0,16.2,60.35,0,16.2
1,0,2,18,63,59.92,59.56,59.92,0,19.5,59.56,0,19.4
1,0,3,21,62.5,58.35,58.71,58.35,0,22.4,58.71,0,22.5
1,0,4,25,63.2,57.28,57.42,57.28,0,26.7,57.42,0,26.8
1,0,5,29,64,55.98,55.94,55.98,0,31,55.94,0,31
1,0,6,32.5,64.5,54.4,54.45,54.4,0,34.7,54.45,0,34.7
1,0,7,36,65,52.59,52.77,52.59,0,38.2,52.77,0,38.3
1,0,8,38.5,65.5,51.26,51.44,51.26,0,40.8,51.44,0,40.9
1,0,9,40,66.5,50.94,50.58,50.94,0,42.7,50.58,0,42.4
1,0,10,42,66.5,49.42,49.37,49.42,0,44.5,49.37,0,44.5
1,0,11,45,67,47.38,47.42,47.38,0,47.4,47.42,0,47.4
1,0,12,47,68,46.38,46.01,46.38,0,49.7,46.01,0,49.3
1,0,13,50,68.1,43.77,43.75,43.77,0,52.2,43.75,0,52.1
1,0,14,52.5,68.6,41.76,41.72,41.76,0,54.4,41.72,0,54.4
1,0,15,55,68.9,39.52,39.56,39.52,0,56.4,39.56,0,56.5
1,0,16,59,69.1,35.59,35.85,35.59,0,59.2,35.85,0,59.7
1,0,17,62,69.9,32.82,32.87,32.82,0,61.7,32.87,0,61.8
1,0,18,64,70,30.69,30.79,30.69,0,62.9,30.79,0,63.1
1,0,19,66,70.5,28.67,28.64,28.67,0,64.4,28.64,0,64.3
1,0,20,68,70.6,26.45,26.43,26.45,0,65.5,26.43,0,65.4
1,0,21,71,71.2,23.18,23.02,23.18,0,67.3,23.02,0,66.8
1,0,22,75,70.5,18.25,18.3,18.25,0,68.1,18.3,0,68.3
1,0,23,79,69.5,13.26,13.32,13.26,0,68.2,13.32,0,68.5
1,0,24,81,69,10.79,10.85,10.79,0,68.2,10.85,0,68.5
1,0,25,84,68,7.11,7.2,7.11,0,67.6,7.2,0,68.5
2,15,1,15.5,62,59.75,60.03,57.71,15.46,16.6,57.99,15.54,16.6
2,15,2,18.5,63,59.74,59.59,57.71,15.46,20,57.56,15.42,19.9
2,15,3,21.5,63.5,59.08,58.97,57.07,15.29,23.3,56.96,15.26,23.2
2,15,4,25,64.2,58.18,58.03,56.2,15.06,27.1,56.05,15.02,27.1
2,15,5,28,64.5,56.95,57.02,55.01,14.74,30.3,55.07,14.76,30.3
2,15,6,31,65,55.72,55.82,53.82,14.42,33.5,53.92,14.45,33.5
2,15,7,34,65.8,54.55,54.44,52.69,14.12,36.8,52.58,14.09,36.7
2,15,8,36.5,66.3,53.3,53.14,51.48,13.79,39.4,51.33,13.75,39.3
2,15,9,39.5,66.7,51.47,51.41,49.71,13.32,42.4,49.66,13.31,42.4
2,15,10,41.5,67.3,50.4,50.16,48.69,13.05,44.6,48.45,12.98,44.4
2,15,11,45,67.3,47.59,47.76,45.97,12.32,47.6,46.13,12.36,47.8
2,15,12,48,67.6,45.23,45.51,43.69,11.71,50.2,43.96,11.78,50.5
2,15,13,50.5,67.8,43.13,43.5,41.66,11.16,52.3,42.01,11.26,52.8
2,15,14,52.5,68.4,41.64,41.8,40.22,10.78,54.3,40.38,10.82,54.5
2,15,15,55.5,69.1,39.14,39.12,37.81,10.13,56.9,37.79,10.13,56.9
2,15,16,59.5,69.9,35.48,35.3,34.27,9.18,60.2,34.1,9.14,59.9
2,15,17,62,70.1,32.91,32.78,31.79,8.52,61.9,31.66,8.48,61.7
2,15,18,64,70.5,30.91,30.69,29.85,8,63.4,29.65,7.94,62.9
2,15,19,67.5,70.2,26.86,26.91,25.95,6.95,64.9,25.99,6.96,65
2,15,20,69.5,71,24.86,24.68,24.02,6.44,66.5,23.84,6.39,66
2,15,21,72,69.8,21.57,21.82,20.83,5.58,66.4,21.08,5.65,67.2
2,15,22,74.5,70.8,18.92,18.9,18.28,4.9,68.2,18.26,4.89,68.2
2,15,23,79,69.1,13.18,13.32,12.74,3.41,67.8,12.86,3.45,68.5
2,15,24,81,68.8,10.76,10.85,10.4,2.79,68,10.48,2.81,68.5
2,15,25,83.5,68.2,7.72,7.8,7.46,2,67.8,7.54,2.02,68.5
3,30,1,15,62.5,60.37,60.35,52.28,30.19,16.2,52.26,30.17,16.2
3,30,2,18,63,59.92,59.56,51.89,29.96,19.5,51.58,29.78,19.4
3,30,3,21,62.5,58.35,58.71,50.53,29.17,22.4,50.84,29.35,22.5
3,30,4,25,63.2,57.28,57.42,49.6,28.64,26.7,49.73,28.71,26.8
3,30,5,29,64,55.98,55.94,48.48,27.99,31,48.44,27.97,31
3,30,6,32.5,64.5,54.4,54.45,47.11,27.2,34.7,47.16,27.23,34.7
3,30,7,36,65,52.59,52.77,45.54,26.29,38.2,45.7,26.39,38.3
3,30,8,38.5,65.5,51.26,51.44,44.39,25.63,40.8,44.55,25.72,40.9
3,30,9,40,66.5,50.94,50.58,44.12,25.47,42.7,43.81,25.29,42.4
3,30,10,42,66.5,49.42,49.37,42.8,24.71,44.5,42.76,24.69,44.5
3,30,11,45,67,47.38,47.42,41.03,23.69,47.4,41.06,23.71,47.4
3,30,12,47,68,46.38,46.01,40.16,23.19,49.7,39.85,23,49.3
3,30,13,50,68.1,43.77,43.75,37.91,21.89,52.2,37.89,21.87,52.1
3,30,14,52.5,68.6,41.76,41.72,36.17,20.88,54.4,36.13,20.86,54.4
3,30,15,55,68.9,39.52,39.56,34.22,19.76,56.4,34.26,19.78,56.5
3,30,16,59,69.1,35.59,35.85,30.82,17.79,59.2,31.05,17.93,59.7
3,30,17,62,69.9,32.82,32.87,28.42,16.41,61.7,28.47,16.43,61.8
3,30,18,64,70,30.69,30.79,26.57,15.34,62.9,26.66,15.39,63.1
3,30,19,66,70.5,28.67,28.64,24.83,14.34,64.4,24.81,14.32,64.3
3,30,20,68,70.6,26.45,26.43,22.9,13.22,65.5,22.89,13.22,65.4
3,30,21,71,71.2,23.18,23.02,20.07,11.59,67.3,19.93,11.51,66.8
3,30,22,75,70.5,18.25,18.3,15.8,9.12,68.1,15.84,9.15,68.3
3,30,23,79,69.5,13.26,13.32,11.48,6.63,68.2,11.53,6.66,68.5
3,30,24,81,69,10.79,10.85,9.35,5.4,68.2,9.4,5.42,68.5
3,30,25,84,68,7.11,7.2,6.16,3.55,67.6,6.24,3.6,68.5
4,45,1,15,62.5,60.37,60.35,42.69,42.69,16.2,42.67,42.67,16.2
4,45,2,18,63,59.92,59.56,42.37,42.37,19.5,42.12,42.12,19.4
4,45,3,21,62.5,58.35,58.71,41.26,41.26,22.4,41.51,41.51,22.5
4,45,4,25,63.2,57.28,57.42,40.5,40.5,26.7,40.6,40.6,26.8
4,45,5,29,64,55.98,55.94,39.58,39.58,31,39.55,39.55,31
4,45,6,32.5,64.5,54.4,54.45,38.47,38.47,34.7,38.5,38.5,34.7
4,45,7,36,65,52.59,52.77,37.18,37.18,38.2,37.31,37.31,38.3
4,45,8,38.5,65.5,51.26,51.44,36.25,36.25,40.8,36.37,36.37,40.9
